teamID,playerGamertag,fullname,phoneNumber,emailAddress,address,link,dateOfBirth
A1,FalleN,3,4,5,6,,8
A1,yuurih,3,4,5,6,,8
A1,YEKINDAR,3,4,5,6,,8
A1,KSCERATO,3,4,5,6,,8
A1,moloday,3,4,5,6,,lol
A2,2,3,4,5,6,,lol
A3,2,3,4,5,6,,lol
A3,2,3,4,5,6,dontforgetaboutme,lol
A3,2,3,4,5,6,dontforgetaboutme,lol
1,2,3,4,5,6,dontforgetaboutme,lol
1,2,3,4,5,6,dontforgetaboutme,lol
1,2,3,4,5,6,dontforgetaboutme,lol
1,2,3,4,5,6,dontforgetaboutme,lol
1,2,3,4,5,6,dontforgetaboutme,lol
A1,Testplayer,testy mcgee,1234567,email@email.is,laugarvegur 5,face.com,01/05/1998
A1,Testplayer,testy mcgee,1234567,email@email.is,laugarvegur 5,face.com,01/05/1998
