teamID,playerGamertag,fullname,phoneNumber,emailAddress,address,link,dateOfBirth
A1,FalleN,3,4,5,6,,8
A1,yuurih,3,4,5,6,,8
A1,YEKINDAR,3,4,5,6,,8
A1,KSCERATO,3,4,5,6,,8
A1,moloday,3,4,5,6,,lol
A2,2,3,4,5,6,,lol
A3,2,3,4,5,6,,lol
A3,2,3,4,5,6,dontforgetaboutme,lol
A3,2,3,4,5,6,dontforgetaboutme,lol
1,2,3,4,5,6,dontforgetaboutme,lol
1,2,3,4,5,6,dontforgetaboutme,lol
1,2,3,4,5,6,dontforgetaboutme,lol
1,2,3,4,5,6,dontforgetaboutme,lol
1,2,3,4,5,6,dontforgetaboutme,lol
A1,Testplayer,testy mcgee,1234567,email@email.is,laugarvegur 5,face.com,01/05/1998
32,Sheriff_Norris,Chuck Norris,123456789,gmail@chucknorris.com,123 chucknorrisstreet,,
32,Sheriff_Norris,Chuck Norris,123456789,gmail@chucknorris.com,123 chucknorrisstreet,,
32,Disciple1,Bob,3459621,bob@gmail.com,234 somewhere,,
32,Disciple2,Jim,1897253,jim@gmail.com,3452 whatever,,
32,Disciple3,Josh,423895,josh@gmail.com,432 somestreet,,
32,Disciple4,Gary,2175219,gary@gmail.com,246 street,,
32,Sheriff_Norris,Chuck Norris,123456789,gmail@chucknorris.com,123 chucknorrisstreet,,
32,Disciple1,Bob,3459621,bob@gmail.com,234 somewhere,,
32,Disciple2,Jim,1897253,jim@gmail.com,3452 whatever,,
32,Disciple3,Gary,2175219,gary@gmail.com,246 street,,
