teamID,playerGamertag,fullname,phoneNumber,emailAddress,address,link,dateOfBirth
A1,FalleN,3,4,5,6,,8
A1,yuurih,3,4,5,6,,8
A1,YEKINDAR,3,4,5,6,,8
A1,KSCERATO,3,4,5,6,,8
A1,moloday,3,4,5,6,,lol
A2,2,3,4,5,6,,lol
A3,2,3,4,5,6,,lol
A3,2,3,4,5,6,dontforgetaboutme,lol
A3,2,3,4,5,6,dontforgetaboutme,lol
1,2,3,4,5,6,dontforgetaboutme,lol
1,2,3,4,5,6,dontforgetaboutme,lol
1,2,3,4,5,6,dontforgetaboutme,lol
1,2,3,4,5,6,dontforgetaboutme,lol
1,2,3,4,5,6,dontforgetaboutme,lol
A1,Testplayer,testy mcgee,1234567,email@email.is,laugarvegur 5,face.com,01/05/1998
32,Sheriff_Norris,Chuck Norris,123456789,gmail@chucknorris.com,123 chucknorrisstreet,,
32,Sheriff_Norris,Chuck Norris,123456789,gmail@chucknorris.com,123 chucknorrisstreet,,
32,Disciple1,Bob,3459621,bob@gmail.com,234 somewhere,,
32,Disciple2,Jim,1897253,jim@gmail.com,3452 whatever,,
32,Disciple3,Josh,423895,josh@gmail.com,432 somestreet,,
32,Disciple4,Gary,2175219,gary@gmail.com,246 street,,
32,Sheriff_Norris,Chuck Norris,123456789,gmail@chucknorris.com,123 chucknorrisstreet,,
32,Disciple1,Bob,3459621,bob@gmail.com,234 somewhere,,
32,Disciple2,Jim,1897253,jim@gmail.com,3452 whatever,,
32,Disciple3,Gary,2175219,gary@gmail.com,246 street,,
32,Disciple4,Josh,423895,josh@gmail.com,432 somestreet,,
32,bla,blabla,123125,bla@bla.com,blabla,,
32,blablalba,blablalb,12152,bla@bla.com,bkfabla,,
32,blablalbabl,asdbva,143252,bla@bla.com,asklf,,
32,bla,blablalba,123,bla@bla.com,sdaf,,
32,blablabal,sfsf,1234,bla@bla.com,sdfasdf,,
32,balbalblabla,sadfafh,123,bla@bla.com,sadfgh,,
32,bla,blalbalb,123,bla@bla.com,asdf,,
32,blabla,asdfasdg,123,bla@bla.com,asdf,,
32,blablabla,sdfasdg,123,bla@bla.com,asdf,,
32,bla,asfsdaf,123,bla@bla.com,asdf,,
32,blabla,asdf,123,bla@bla.com,asdf,,
32,blablabla,asdf,123,bla@bla.com,asdf,,
32,bla,blabla,123,bla@bla.com,asdf,,
32,blabla,asdf,123,bla@bla.com,asdf,,
32,blablabla,asdf,123,bla@bla.com,sadf,,
33,Sheriff_Norris,Chuck Norris,123456789,gmail@chucknorris.com,123 chucknorrisstreet,https://www.instagram.com/chucknorris/?hl=en,
33,Disciple1,Bob,3459621,bob@gmail.com,234 somewhere,,
33,Disciple2,Jim,1897253,jim@gmail.com,3452 whatever,,
33,# Disciple3,Josh,423895,josh@gmail.com,432 somestreet,,
